symbol,price,ret_5d,ret_20d,vol_20d,score,alpha_label
KIM,23.079999923706055,-0.0073,0.06130503529682518,0.35,0.2354,➖ NEUTRAL
NI,46.689998626708984,-0.0074,0.04545451827659397,0.84,0.2351,➖ NEUTRAL
ANET,138.22999572753906,-0.0084,-0.017275756229948813,2.99,0.2332,➖ NEUTRAL
VZ,50.68000030517578,-0.0098,0.034919318804299326,0.75,0.2305,➖ NEUTRAL
TRGP,236.58999633789062,-0.0101,0.06615291079050989,0.96,0.2297,➖ NEUTRAL
MSTR,138.3300018310547,-0.0106,0.09724757805907891,3.83,0.2288,➖ NEUTRAL
HPQ,18.825000762939453,-0.0108,-0.0318605329821644,1.25,0.2283,➖ NEUTRAL
FOX,52.88999938964844,-0.011399999999999999,-0.04104160253055311,1.53,0.2272,➖ NEUTRAL
DOW,36.68000030517578,0.08779999999999999,0.09160153686798433,2.5,0.2256,➖ NEUTRAL
SBUX,102.30999755859375,0.036699999999999997,0.03883965818163215,0.95,0.2234,➖ NEUTRAL
FANG,176.63999938964844,-0.0134,0.05139256659029967,1.5,0.2232,➖ NEUTRAL
SMCI,31.790000915527344,-0.013999999999999999,-0.007802746343831823,2.68,0.2221,➖ NEUTRAL
MSFT,404.8800048828125,-0.0141,0.00354661242047305,1.14,0.2218,➖ NEUTRAL
FOXA,57.83000183105469,-0.0147,-0.049031576294233714,1.67,0.2207,➖ NEUTRAL
REG,77.37000274658203,-0.0149,0.02163796484415026,0.56,0.2201,➖ NEUTRAL
OXY,57.46500015258789,0.08449999999999999,0.22222359249934454,1.89,0.219,➖ NEUTRAL
EQT,63.709999084472656,0.0331,0.12224809330577147,1.07,0.2162,➖ NEUTRAL
PTC,161.16000366210938,-0.018799999999999997,0.0357326307230017,1.25,0.2124,➖ NEUTRAL
FAST,46.25,-0.0222,-0.01637601978450287,1.18,0.2056,➖ NEUTRAL
RSG,226.5,-0.0223,0.0023454386707695285,0.81,0.2054,➖ NEUTRAL
WM,239.81500244140625,-0.0255,0.021967948090206413,1.09,0.199,➖ NEUTRAL
ADBE,273.7099914550781,-0.0285,0.06435677227129877,1.68,0.193,➖ NEUTRAL
MGM,36.06999969482422,-0.0285,-0.007975822625392981,2.57,0.1929,➖ NEUTRAL
AMZN,212.64999389648438,-0.0287,0.041993296690208126,1.21,0.1925,➖ NEUTRAL
ICE,159.22000122070312,-0.0291,0.04756888917846802,1.25,0.1917,➖ NEUTRAL
ABNB,131.6300048828125,-0.0311,0.10104560035707233,1.83,0.1879,➖ NEUTRAL
PAYX,95.19999694824219,-0.0323,0.003795873305066033,2.05,0.1854,➖ NEUTRAL
EW,85.3499984741211,0.0174,0.07588549734168559,1.55,0.1848,➖ NEUTRAL
BR,184.5500030517578,-0.0332,0.1014622482265699,1.48,0.1836,➖ NEUTRAL
COIN,198.6300048828125,-0.0344,0.2965405276732389,4.05,0.1812,➖ NEUTRAL
OMC,80.91000366210938,-0.036000000000000004,0.17884148454155557,1.3,0.178,➖ NEUTRAL
NDAQ,85.0199966430664,-0.0368,0.05719968389526042,1.6,0.1764,➖ NEUTRAL
AWK,136.39999389648438,0.0131,0.10275682111898288,1.15,0.1763,➖ NEUTRAL
SHOP,129.52000427246094,-0.0391,0.09106229695357015,2.99,0.1718,➖ NEUTRAL
NOW,115.62999725341797,-0.0395,0.149632085388534,2.45,0.1711,➖ NEUTRAL
CVX,191.7899932861328,0.01,0.042224474861991323,0.94,0.1699,➖ NEUTRAL
JKHY,168.58999633789062,0.0092,0.0214476272430435,1.26,0.1684,➖ NEUTRAL
XLE,56.97999954223633,0.0089,0.036376864617170046,0.81,0.1677,➖ NEUTRAL
KR,72.19000244140625,0.0087,0.05668559607535739,1.75,0.1673,➖ NEUTRAL
PYPL,45.56999969482422,-0.0435,0.12970769779267344,2.22,0.1631,➖ NEUTRAL
AKAM,106.58999633789062,0.0553,0.12436701378264559,1.7,0.1607,➖ NEUTRAL
ETSY,54.0,-0.0464,0.13780027479324186,1.85,0.1571,➖ NEUTRAL
COP,117.02999877929688,0.0018,0.060522787782070875,1.29,0.1536,➖ NEUTRAL
